timestamp,price,price_change,trend
2026-04-28 02:00:00,41.40598569715173,,no change
2026-04-28 03:00:00,41.00520216688238,-0.40078353026935076,down
2026-04-28 04:00:00,41.06018404871843,0.054981881836056345,up
2026-04-28 05:00:00,41.218809657600985,0.15862560888255217,up
2026-04-28 06:00:00,41.18020491447187,-0.03860474312911322,down
2026-04-28 07:00:00,40.52061216524917,-0.6595927492227034,down
2026-04-28 08:00:00,40.57341087076604,0.052798705516870825,up
2026-04-28 09:00:00,40.52903789052854,-0.04437298023749747,down
2026-04-28 10:00:00,40.33863202103201,-0.19040586949653004,down
2026-04-28 11:00:00,39.767515964835404,-0.5711160561966082,down
2026-04-28 12:00:00,40.11981732303846,0.3523013582030572,up
2026-04-28 13:00:00,40.03119791085813,-0.08861941218032854,down
2026-04-28 14:00:00,39.989910026847014,-0.04128788401111905,down
2026-04-28 15:00:00,39.83376460080731,-0.15614542603970705,down
2026-04-28 16:00:00,39.72343826276007,-0.11032633804723702,down
2026-04-28 17:00:00,39.718393612257245,-0.005044650502824766,down
2026-04-28 18:00:00,39.71044889138966,-0.007944720867584465,down
2026-04-28 19:00:00,39.9483445738679,0.23789568247823922,up
2026-04-28 20:00:00,40.11227431630541,0.16392974243751013,up
2026-04-28 21:00:00,39.86323551915018,-0.24903879715522947,down
2026-04-28 22:00:00,39.95043206380707,0.08719654465689075,up
2026-04-28 23:00:00,39.990972253199196,0.040540189392125114,up
2026-04-29 00:00:00,40.15975321669774,0.16878096349854133,up
2026-04-29 01:00:00,40.04468421460427,-0.11506900209347037,down
2026-04-29 02:00:00,40.22437975242435,0.17969553782008063,up
2026-04-29 03:00:00,40.15831634267547,-0.06606340974887814,down
2026-04-29 04:00:00,40.293059218488054,0.13474287581258437,up
2026-04-29 05:00:00,40.636186577390795,0.34312735890274126,up
2026-04-29 06:00:00,40.7661939960246,0.13000741863380227,up
2026-04-29 07:00:00,40.557820368185304,-0.20837362783929336,down
2026-04-29 08:00:00,40.55436786290672,-0.003452505278580986,down
2026-04-29 09:00:00,40.37483673093061,-0.1795311319761126,down
2026-04-29 10:00:00,40.6097150850891,0.23487835415848934,up
2026-04-29 11:00:00,40.53276187600458,-0.07695320908452175,down
2026-04-29 12:00:00,40.373071863322586,-0.1596900126819918,down
2026-04-29 13:00:00,40.07357154814249,-0.29950031518009723,down
2026-04-29 14:00:00,39.75591141395649,-0.31766013418599925,down
