timestamp,price
2026-04-28 02:00:00,77092.20841834374
2026-04-28 03:00:00,76880.1830745387
2026-04-28 04:00:00,76811.08559285454
2026-04-28 05:00:00,76917.49574777157
2026-04-28 06:00:00,76924.25727881525
2026-04-28 07:00:00,76700.47116375205
2026-04-28 08:00:00,76872.23149345712
2026-04-28 09:00:00,76840.47490254944
2026-04-28 10:00:00,76595.39678395318
2026-04-28 11:00:00,76624.23469793862
2026-04-28 12:00:00,76210.32158110656
2026-04-28 13:00:00,76353.00350018039
2026-04-28 14:00:00,76179.83756212507
2026-04-28 15:00:00,75900.33374577716
2026-04-28 16:00:00,76041.19516612125
2026-04-28 17:00:00,76116.07644503265
2026-04-28 18:00:00,76159.50981703018
2026-04-28 19:00:00,76231.00632581548
2026-04-28 20:00:00,76323.95972945874
2026-04-28 21:00:00,76457.98721881601
2026-04-28 22:00:00,76357.78892498677
2026-04-28 23:00:00,76214.17857189363
2026-04-29 00:00:00,76331.86443470464
2026-04-29 01:00:00,76482.74554049068
2026-04-29 02:00:00,76552.68099963233
2026-04-29 03:00:00,76501.20247165972
2026-04-29 04:00:00,76979.85884575281
2026-04-29 05:00:00,77264.4125747919
2026-04-29 06:00:00,77263.2057203791
2026-04-29 07:00:00,77015.50824836911
2026-04-29 08:00:00,77040.60417184216
2026-04-29 09:00:00,77034.11002241583
2026-04-29 10:00:00,77654.71785294599
2026-04-29 11:00:00,77607.50604661656
2026-04-29 12:00:00,77582.31413324727
2026-04-29 13:00:00,77131.03134823615
2026-04-29 14:00:00,76777.62520932933
2026-04-29 15:00:00,76558.93771003865
2026-04-29 16:00:00,75857.66734911258
2026-04-29 17:00:00,75760.27780886367
2026-04-29 18:00:00,76081.43685375764
2026-04-29 19:00:00,75468.36108406863
2026-04-29 20:00:00,75562.29888092859
2026-04-29 21:00:00,75701.6994096244
2026-04-29 22:00:00,75910.2894823814
2026-04-29 23:00:00,75910.68269692421
2026-04-30 00:00:00,75784.95743624517
2026-04-30 01:00:00,76250.01408807852
2026-04-30 02:00:00,76206.85772357158
2026-04-30 03:00:00,75692.18511454856
2026-04-30 04:00:00,75905.35234841179
2026-04-30 05:00:00,75468.95673490499
2026-04-30 06:00:00,75581.88456131189
2026-04-30 07:00:00,75727.67094811366
2026-04-30 08:00:00,76101.01000005315
2026-04-30 09:00:00,76033.36666393217
2026-04-30 10:00:00,76093.53377989102
2026-04-30 11:00:00,76002.48449655807
2026-04-30 12:00:00,76023.86194029631
2026-04-30 13:00:00,76300.57089629352
2026-04-30 14:00:00,76404.73145687747
2026-04-30 15:00:00,76290.8937742779
2026-04-30 16:00:00,76466.99511109163
2026-04-30 17:00:00,76223.77393362843
2026-04-30 18:00:00,76243.40774453875
2026-04-30 19:00:00,76328.29551596516
2026-04-30 20:00:00,76401.9176935733
2026-04-30 21:00:00,76466.438389814
2026-04-30 22:00:00,76248.21955048387
2026-04-30 23:00:00,76204.92759158948
2026-05-01 00:00:00,76296.7964844269
2026-05-01 01:00:00,76392.05968947186
2026-05-01 02:00:00,76663.68119261962
2026-05-01 03:00:00,76554.07364369437
2026-05-01 04:00:00,77097.01952809257
2026-05-01 05:00:00,77013.79017489191
2026-05-01 06:00:00,77125.34488611674
2026-05-01 07:00:00,77023.54920529101
2026-05-01 08:00:00,77099.79820123348
2026-05-01 09:00:00,77357.19322181061
2026-05-01 10:00:00,77248.51348685545
2026-05-01 11:00:00,77281.92916598736
2026-05-01 12:00:00,77447.69629980676
2026-05-01 13:00:00,77931.35918109783
2026-05-01 14:00:00,78716.05085821719
2026-05-01 15:00:00,78326.82411661577
2026-05-01 16:00:00,78451.85449747508
2026-05-01 17:00:00,78214.31562737207
2026-05-01 18:00:00,78551.99014964356
2026-05-01 19:00:00,78408.45174473735
2026-05-01 20:00:00,78375.98656428939
2026-05-01 21:00:00,77861.94141619159
2026-05-01 22:00:00,78205.511993624
2026-05-01 23:00:00,78127.08085210648
2026-05-02 00:00:00,78207.76425489692
2026-05-02 01:00:00,78308.35960031401
2026-05-02 02:00:00,78298.36374105171
2026-05-02 03:00:00,78351.99270687478
2026-05-02 04:00:00,78420.28262527542
2026-05-02 05:00:00,78160.31900836388
2026-05-02 06:00:00,78196.07035699712
2026-05-02 07:00:00,78316.7298061624
2026-05-02 08:00:00,78201.14847211596
2026-05-02 09:00:00,78295.18842755498
2026-05-02 10:00:00,78281.42572176596
2026-05-02 11:00:00,78239.40711826575
2026-05-02 12:00:00,78133.40182403094
2026-05-02 13:00:00,78200.54132621695
2026-05-02 14:00:00,78358.19735457262
2026-05-02 15:00:00,78415.71718734756
2026-05-02 16:00:00,78470.31489438383
2026-05-02 17:00:00,78436.02007355604
2026-05-02 18:00:00,78388.12108372683
2026-05-02 19:00:00,78456.22291321508
2026-05-02 20:00:00,78454.27633340326
2026-05-02 21:00:00,78444.97833282835
2026-05-02 22:00:00,78728.05686694816
2026-05-02 23:00:00,78815.09588754611
2026-05-03 00:00:00,78677.4246327222
2026-05-03 01:00:00,78527.60769984142
2026-05-03 02:00:00,78241.10727510335
2026-05-03 03:00:00,78162.87002779856
2026-05-03 04:00:00,78191.8566549931
2026-05-03 05:00:00,78154.58785503708
2026-05-03 06:00:00,78236.98046680402
2026-05-03 07:00:00,78278.7111234792
2026-05-03 08:00:00,78356.50652180392
2026-05-03 09:00:00,78381.65985391615
2026-05-03 10:00:00,78521.29993245302
2026-05-03 11:00:00,78397.72706064057
2026-05-03 12:00:00,78653.10219142487
2026-05-03 13:00:00,78727.11960085307
2026-05-03 14:00:00,78661.2319817467
2026-05-03 15:00:00,78735.9262258146
2026-05-03 16:00:00,78662.07178485782
2026-05-03 17:00:00,78673.56454429685
2026-05-03 18:00:00,78719.55103139469
2026-05-03 19:00:00,78729.78639345494
2026-05-03 20:00:00,78762.37552061015
2026-05-03 21:00:00,78904.85976166277
2026-05-03 22:00:00,78820.90055119908
2026-05-03 23:00:00,79161.78594548501
2026-05-04 00:00:00,78512.09246456268
2026-05-04 01:00:00,78537.53773799088
2026-05-04 02:00:00,79836.5624667911
2026-05-04 03:00:00,80199.87894588517
2026-05-04 04:00:00,80310.1761481044
2026-05-04 05:00:00,80306.38771771273
2026-05-04 06:00:00,80017.9274467015
2026-05-04 07:00:00,79892.56098181554
2026-05-04 08:00:00,79666.9972464689
2026-05-04 09:00:00,79701.96166921609
2026-05-04 10:00:00,79835.80231706792
2026-05-04 11:00:00,78924.49017702501
2026-05-04 12:00:00,78783.85632564427
2026-05-04 13:00:00,78955.87421431128
2026-05-04 14:00:00,78795.91240665555
2026-05-04 15:00:00,80246.58290413464
2026-05-04 16:00:00,80021.83693671435
2026-05-04 17:00:00,80027.71018122253
2026-05-04 18:00:00,80421.45195716617
